goos: darwin
goarch: arm64
pkg: in-memory-key-value-db/internal/database/storage/in_memory
cpu: Apple M4
BenchmarkMixed_ByWritePct/sync/writes=10%-10          	31533927	        45.70 ns/op	      23 B/op	       2 allocs/op
BenchmarkMixed_ByWritePct/sync/writes=10%-10          	30556574	        43.21 ns/op	      23 B/op	       2 allocs/op
BenchmarkMixed_ByWritePct/sync/writes=10%-10          	30505824	        44.26 ns/op	      23 B/op	       2 allocs/op
BenchmarkMixed_ByWritePct/sync/writes=10%-10          	30179347	        44.45 ns/op	      23 B/op	       2 allocs/op
BenchmarkMixed_ByWritePct/sync/writes=10%-10          	25573425	        44.49 ns/op	      23 B/op	       2 allocs/op
BenchmarkMixed_ByWritePct/sync/writes=10%-10          	28899297	        43.49 ns/op	      23 B/op	       2 allocs/op
BenchmarkMixed_ByWritePct/sync/writes=10%-10          	30728619	        42.21 ns/op	      23 B/op	       2 allocs/op
BenchmarkMixed_ByWritePct/sync/writes=10%-10          	30417030	        42.01 ns/op	      23 B/op	       2 allocs/op
BenchmarkMixed_ByWritePct/single/writes=50%-10        	10676342	       123.1 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/single/writes=50%-10        	10059908	       157.8 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/single/writes=50%-10        	 9740016	       126.7 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/single/writes=50%-10        	 9935755	       152.7 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/single/writes=50%-10        	10105326	       126.4 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/single/writes=50%-10        	 9947736	       123.6 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/single/writes=50%-10        	 9268362	       187.2 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/single/writes=50%-10        	 9099999	       143.8 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/single/writes=50%-10        	 8400422	       123.0 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/single/writes=50%-10        	10117250	       122.7 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/partitioned/writes=50%-10   	14418127	        89.34 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/partitioned/writes=50%-10   	12606956	        89.44 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/partitioned/writes=50%-10   	12741067	        90.70 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/partitioned/writes=50%-10   	12603303	        91.95 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/partitioned/writes=50%-10   	12224108	        94.23 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/partitioned/writes=50%-10   	11799651	       111.1 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/partitioned/writes=50%-10   	10072197	       120.9 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/partitioned/writes=50%-10   	10888311	       100.2 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/partitioned/writes=50%-10   	11314927	       104.0 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/partitioned/writes=50%-10   	 9722395	       109.0 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/sync/writes=50%-10          	19925197	        60.85 ns/op	      55 B/op	       3 allocs/op
BenchmarkMixed_ByWritePct/sync/writes=50%-10          	25464956	        50.09 ns/op	      55 B/op	       3 allocs/op
BenchmarkMixed_ByWritePct/sync/writes=50%-10          	23978697	        51.24 ns/op	      55 B/op	       3 allocs/op
BenchmarkMixed_ByWritePct/sync/writes=50%-10          	21946534	        54.43 ns/op	      55 B/op	       3 allocs/op
BenchmarkMixed_ByWritePct/sync/writes=50%-10          	23923881	        51.65 ns/op	      55 B/op	       3 allocs/op
BenchmarkMixed_ByWritePct/sync/writes=50%-10          	24120824	        50.11 ns/op	      55 B/op	       3 allocs/op
BenchmarkMixed_ByWritePct/sync/writes=50%-10          	23627259	        50.65 ns/op	      55 B/op	       3 allocs/op
BenchmarkMixed_ByWritePct/sync/writes=50%-10          	23095558	        55.88 ns/op	      55 B/op	       3 allocs/op
BenchmarkMixed_ByWritePct/sync/writes=50%-10          	23543395	        51.36 ns/op	      55 B/op	       3 allocs/op
BenchmarkMixed_ByWritePct/sync/writes=50%-10          	24469903	        53.31 ns/op	      55 B/op	       3 allocs/op
PASS
ok  	in-memory-key-value-db/internal/database/storage/in_memory	188.896s
